kmeans,mst_euclidean,mst_js,hdbscan
0.722509,0.712576,0.715566,0.731585
0.421501,0.564993,0.000522,0.380978
726208.0,8.4e-05,1.1e-05,0.72745
0.149558,-0.001901,-0.004121,0.061895
0.06992,0.000261,0.000261,0.012222
0.003734,-0.001972,-0.001972,0.102374
-0.001237,-1e-06,-0.00196,0.089081
0.010447,0.002339,0.000459,0.061912
0.008981,-0.002888,-0.002888,0.027437
-0.001936,-0.00126,0.011893,-4.2e-05
0.007629,-0.002987,-0.002987,0.027204
-0.001242,0.004259,0.004259,0.037261
0.227355,-0.00307,-0.00307,0.394003
-0.00282,-8.9e-05,-8.9e-05,0.054167
0.046643,-0.001531,-0.002799,0.376655
0.074861,0.003703,-0.001261,0.024713
0.188097,0.000721,4.6e-05,0.542119
0.611244,-1e-06,0.000543,0.560804
0.580739,0.358623,0.274903,0.567088
0.154996,-0.000918,0.000703,0.01945
0.017534,0.004369,-0.00362,0.103741
0.180355,0.000619,0.000743,0.067809
0.075017,-0.000798,0.012768,0.113296
0.377976,-0.007724,0.001097,0.010911
0.13789,0.024558,0.024558,0.095711
0.130068,0.024558,0.024558,0.095711
0.375209,-0.003364,0.651205,0.188443
0.106147,-0.000479,-0.000479,0.046974
0.023787,0.000287,0.001013,0.056173
0.003599,-0.000552,0.025179,-0.000778
0.50901,2.3e-05,0.00013,0.207261
0.52774,8e-06,-6e-05,0.175272
