kmeans,mst_euclidean,mst_js,hdbscan
0.679487,0.563751,0.558371,0.568116
0.367245,0.005444,0.000446,0.297003
0.621533,4.3e-05,6e-06,0.482851
0.165097,-0.002667,0.002764,0.106938
0.078656,0.000366,0.000366,0.005371
0.004154,-0.002758,-0.002758,-0.008413
-0.002819,-0.005404,-0.002727,0.04707
0.016586,-0.00105,0.000644,0.011402
-0.001282,-0.004005,-0.004005,-0.064968
-0.000516,-0.007237,0.016369,0.001008
-0.01543,-0.004157,-0.004157,0.054028
0.000704,0.006067,0.006067,-0.017354
0.234433,-0.004246,-0.004246,0.270752
-0.003247,-0.000127,-0.000127,0.030119
0.041466,-0.00758,-0.003842,0.309587
0.176706,0.005117,-0.001742,8.1e-05
0.091913,2.6e-05,2.4e-05,0.202804
0.480695,-1e-06,4e-06,0.262969
0.366964,0.039573,0.024189,0.126302
0.026242,-0.000433,0.000443,-0.000927
0.020712,0.006468,-0.005359,0.160396
0.057593,0.000409,0.000542,0.013402
0.033034,-0.001179,0.005605,-0.013934
0.305736,-0.00983,0.001602,0.02007
0.086091,0.032844,0.032844,0.148064
0.068559,0.032844,0.032844,0.148064
0.088582,-0.001501,0.252131,0.003871
-0.06689,-0.000649,-0.000649,-0.018472
-0.019306,-0.00148,0.00136,0.001101
0.001374,-0.001034,0.031215,-0.006436
0.379217,1.3e-05,6.7e-05,0.002598
0.36906,4e-06,-3.1e-05,0.007895
