kmeans,mst_euclidean,mst_js,hdbscan
518.96773,277.994676,253.061764,502.821564
548.853502,24.420362,0.700083,147.066149
162.811174,1.245737,1.139357,71.449466
56.779803,4.86211,21.070301,13.398534
103.838539,13.774052,13.774052,20.497579
119.746793,5.353487,5.353487,17.191934
110.055197,21.869976,3.000921,8.822945
151.016251,20.885847,5.110791,7.093137
107.495595,5.156493,5.156493,6.327868
99.819273,21.420478,1.178013,15.628744
56.625034,13.810964,13.810964,13.223436
56.948737,7.442687,1.280726,15.077961
83.057478,5.26324,5.26324,41.49486
46.32257,9.058166,9.058166,15.87314
82.102366,21.403343,2.880006,24.474523
1016.728962,97.830986,0.857272,26.77271
22.492366,1.359269,0.964943,14.389983
372.290952,1.982733,2.031594,59.36258
13.207126,5.068346,4.668242,9.349765
11.116704,3.644497,0.380943,4.893281
1.334216,3.148794,0.345659,2.993884
14.259094,4.660502,0.430396,2.624217
1603.89832,1038.246392,0.019673,0.365053
23.877011,2.554492,2.735786,2.160621
14.867572,2.016893,2.016893,3.525266
15.083606,2.016893,2.016893,3.525266
29.716651,7.331894,8.442453,2.566695
367.974572,3.778524,2.511132,2.092911
2831.158682,13.691592,0.805114,17.620768
45.139387,3.15523,0.719949,2.453098
135.387084,1.697083,0.940906,3.245209
434.335461,1.803401,1.255965,3.923444
