kmeans,mst_euclidean,mst_js,hdbscan
0.793057,0.763517,0.764206,0.771454
0.586708,0.564993,0.575053,0.569421
0.664084,0.313949,0.313895,0.544116
0.61913,0.745011,0.744687,0.597823
0.546835,0.706094,0.706094,0.574278
0.538416,0.756998,0.756998,0.643751
0.552628,0.776105,0.77845,0.743413
0.51268,0.706921,0.70864,0.679096
0.577538,0.812289,0.812289,0.755442
0.595693,0.831603,0.837862,0.679315
0.592545,0.800673,0.800673,0.6298
0.522794,0.722939,0.722939,0.501004
0.685756,0.825066,0.825066,0.659734
0.51767,0.702834,0.702834,0.534886
0.623391,0.84374,0.846426,0.743585
0.691428,0.787951,0.786294,0.123462
0.244192,0.313413,0.313608,0.346347
0.539454,0.314094,0.313943,0.380865
0.392644,0.182196,0.16305,0.248857
0.242117,0.330094,0.331251,0.30484
0.692739,0.695897,0.691605,0.567213
0.277216,0.336894,0.337065,0.281696
0.472661,0.495231,0.499779,0.327267
0.58129,0.640462,0.645548,0.630619
0.594073,0.869018,0.869018,0.801544
0.572261,0.869018,0.869018,0.801544
0.210511,0.22895,0.424461,0.127185
0.614735,0.839705,0.839705,0.667028
0.623807,0.858762,0.859845,0.09216
0.713317,0.983034,0.983844,0.238871
0.444691,0.315782,0.315858,0.151972
0.437835,0.315234,0.315184,0.193666
