kmeans,mst_euclidean,mst_js,hdbscan
0.783034,0.645892,0.636514,0.636514
0.459186,0.041556,0.012562,0.439988
1.65232,0.011642,0.011557,1.736924
0.099945,0.001025,0.000335,0.043955
0.04888,0.001361,0.001361,0.009625
0.003659,0.00088,0.00088,0.059917
0.000291,0.001319,0.000659,0.040653
0.007973,0.001925,0.001255,0.031398
0.006785,0.000658,0.000658,0.013562
7.5e-05,0.000962,0.004048,0.002599
0.005668,0.000771,0.000771,0.022123
0.00185,0.004794,0.004794,0.032476
0.116865,0.00061,0.00061,0.29418
0.000251,0.002749,0.002749,0.04283
0.022018,0.000888,0.000443,0.237783
0.042653,0.001815,0.000388,0.102495
0.386656,0.014526,0.013078,1.220255
1.388753,0.01037,0.011531,1.278081
2.651901,1.46293,1.244496,2.271097
0.306509,0.020996,0.022842,0.040424
0.022301,0.012518,0.009533,0.108273
0.347017,0.022679,0.022819,0.170943
0.091816,0.009386,0.020648,0.422196
0.387284,0.004954,0.009406,0.016851
0.106948,0.009944,0.009944,0.056533
0.10372,0.009944,0.009944,0.056533
1.131336,0.092451,1.573056,1.308273
0.057606,8.2e-05,8.2e-05,0.08511
0.012855,0.000152,0.000283,0.361185
0.000674,9e-06,0.001115,0.041147
1.164744,0.005945,0.006069,1.207024
1.198695,0.005931,0.005853,0.897422
