kmeans,mst_euclidean,mst_js,hdbscan
0.853333,0.776644,0.771902,0.776286
0.713299,0.362788,0.345521,0.662985
0.927171,0.107564,0.10753,0.89635
0.585781,0.557325,0.559114,0.557728
0.539335,0.5004,0.5004,0.502752
0.50189,0.575109,0.575109,0.530741
0.499303,0.605666,0.607652,0.601686
0.50833,0.502884,0.503747,0.508461
0.500242,0.661659,0.661659,0.605908
0.50256,0.694401,0.703427,0.563862
0.510262,0.643175,0.643175,0.547213
0.501537,0.527363,0.527363,0.491045
0.619155,0.682502,0.682502,0.606207
0.498186,0.497992,0.497992,0.514892
0.525569,0.714591,0.717788,0.666964
0.614132,0.621868,0.619261,0.385392
0.723708,0.109502,0.1085,0.766898
0.898459,0.106743,0.107544,0.811275
0.964848,0.598659,0.512632,0.840702
0.569461,0.126307,0.127072,0.235403
0.507292,0.5,0.494048,0.580357
0.577107,0.130861,0.130976,0.417791
0.367107,0.254943,0.26106,0.515476
0.666696,0.420631,0.42719,0.448236
0.497455,0.75859,0.75859,0.695436
0.477216,0.75859,0.75859,0.695436
0.767926,0.114143,0.778376,0.712201
0.501179,0.705348,0.705348,0.550238
0.509433,0.737945,0.739412,0.266566
0.527962,0.966392,0.967966,0.087371
0.883426,0.104341,0.104388,0.722069
0.878684,0.103996,0.103965,0.626892
