kmeans,mst_euclidean,mst_js,hdbscan
0.54703,0.512111,0.553808,0.686735
0.568827,0.487982,-0.400624,0.41845
0.177662,-0.133621,-0.150351,0.072145
0.149898,0.434291,0.599087,0.047048
0.165111,0.643177,0.643177,0.062758
0.196994,0.454444,0.454444,-0.07044
0.176232,0.616406,0.316339,-0.103842
0.180018,0.610299,0.445318,-0.148533
0.203515,0.447674,0.447674,-0.147742
0.178458,0.613541,0.038891,-0.104186
0.181733,0.643707,0.643707,0.086263
0.200979,0.512546,0.055186,-0.022393
0.181666,0.44982,0.44982,0.092841
0.18395,0.564223,0.564223,-0.028864
0.159394,0.612591,0.305398,0.001083
0.631255,0.886998,-0.147971,0.421779
0.005148,-0.037725,-0.0944,-0.027953
0.226271,-0.182956,-0.193037,-0.056207
0.113152,-0.011907,-0.05037,0.034547
-0.006494,0.263918,-0.269692,0.184069
0.036164,0.313867,-0.19137,0.091895
0.018615,0.326546,-0.269838,-0.136735
0.543457,0.901791,-0.531466,-0.284215
0.101423,0.194135,0.234288,0.123409
0.059485,0.15825,0.15825,0.073947
0.055234,0.15825,0.15825,0.073947
0.102019,0.291474,-0.285952,-0.125978
0.16377,0.360557,0.252191,-0.264015
0.287798,0.26173,-0.053294,0.314758
0.01595,0.128679,-0.071785,0.103866
0.063687,0.00716,-0.125214,-0.112611
0.142664,0.030805,-0.05437,-0.248589
