kmeans,mst_euclidean,mst_js,hdbscan
0.72605,0.720118,0.720118,0.73368
0.427667,0.021744,0.021744,0.394181
0.728973,0.009857,0.009857,0.733719
0.151358,0.001008,0.001008,0.065833
0.071169,0.003858,0.003858,0.01528
0.005603,0.002793,0.002793,0.106425
0.000459,0.002219,0.002219,0.093866
0.011592,0.003582,0.003582,0.067002
0.011261,0.002456,0.002456,0.035425
0.000129,0.016439,0.016439,0.004995
0.010338,0.002765,0.002765,0.034937
0.002745,0.013757,0.013757,0.044009
0.229233,0.002383,0.002383,0.396338
0.00042,0.007644,0.007644,0.059612
0.0487,0.001893,0.001893,0.379111
0.075956,0.001345,0.001345,0.045151
0.195375,0.011131,0.011131,0.558447
0.614776,0.009835,0.009835,0.574514
0.740752,0.470117,0.470117,0.709752
0.173878,0.019692,0.019692,0.031463
0.044431,0.024786,0.024786,0.137678
0.199158,0.019827,0.019827,0.113325
0.090376,0.025788,0.025788,0.236048
0.383864,0.018313,0.018313,0.028638
0.146549,0.037227,0.037227,0.117952
0.138755,0.037227,0.037227,0.117952
0.44864,0.680443,0.680443,0.449571
0.106491,0.000346,0.000346,0.086364
0.023924,0.001314,0.001314,0.096396
0.003971,0.025693,0.025693,0.013931
0.511522,0.005223,0.005223,0.380552
0.530167,0.005034,0.005034,0.329595
